"","3dprinting_w","3dprinting_f","academia_w","academia_f","ai_w","ai_f","android_w","android_f","anime_w","anime_f","apple_w","apple_f","arduino_w","arduino_f","astronomy_w","astronomy_f","aviation_w","aviation_f","avp_w","avp_f","beer_w","beer_f","bicycles_w","bicycles_f","bioinformatics_w","bioinformatics_f","biology_w","biology_f","bitcoin_w","bitcoin_f","blender_w","blender_f","boardgames_w","boardgames_f","bricks_w","bricks_f","buddhism_w","buddhism_f","cardano_w","cardano_f","chemistry_w","chemistry_f","chess_w","chess_f","chinese_w","chinese_f","christianity_w","christianity_f","civicrm_w","civicrm_f","codegolf_w","codegolf_f","codereview_w","codereview_f","coffee_w","coffee_f","cogsci_w","cogsci_f","computergraphics_w","computergraphics_f","conlang_w","conlang_f","cooking_w","cooking_f","craftcms_w","craftcms_f","crafts_w","crafts_f","crypto_w","crypto_f","cs_w","cs_f","cseducators_w","cseducators_f","cstheory_w","cstheory_f","datascience_w","datascience_f","dba_w","dba_f","devops_w","devops_f","diy_w","diy_f","drones_w","drones_f","drupal_w","drupal_f","dsp_w","dsp_f","earthscience_w","earthscience_f","ebooks_w","ebooks_f","economics_w","economics_f","electronics_w","electronics_f","elementaryos_w","elementaryos_f","ell_w","ell_f","emacs_w","emacs_f","engineering_w","engineering_f","english_w","english_f","eosio_w","eosio_f","esperanto_w","esperanto_f","ethereum_w","ethereum_f","expatriates_w","expatriates_f","expressionengine_w","expressionengine_f","fitness_w","fitness_f","freelancing_w","freelancing_f","french_w","french_f","gamedev_w","gamedev_f","gardening_w","gardening_f","genealogy_w","genealogy_f","german_w","german_f","gis_w","gis_f","graphicdesign_w","graphicdesign_f","ham_w","ham_f","hardwarerecs_w","hardwarerecs_f","health_w","health_f","hermeneutics_w","hermeneutics_f","hinduism_w","hinduism_f","history_w","history_f","homebrew_w","homebrew_f","hsm_w","hsm_f","interpersonal_w","interpersonal_f","iota_w","iota_f","islam_w","islam_f","italian_w","italian_f","japanese_w","japanese_f","joomla_w","joomla_f","judaism_w","judaism_f","korean_w","korean_f","languagelearning_w","languagelearning_f","latin_w","latin_f","law_w","law_f","lifehacks_w","lifehacks_f","linguistics_w","linguistics_f","literature_w","literature_f","magento_w","magento_f","martialarts_w","martialarts_f","materials_w","materials_f","math_w","math_f","matheducators_w","matheducators_f","mathematica_w","mathematica_f","mechanics_w","mechanics_f","moderators_w","moderators_f","money_w","money_f","movies_w","movies_f","music_w","music_f","musicfans_w","musicfans_f","mythology_w","mythology_f","physics_w","physics_f","pm_w","pm_f","poker_w","poker_f","politics_w","politics_f","portuguese_w","portuguese_f","pt_w","pt_f","puzzling_w","puzzling_f","quant_w","quant_f","quantumcomputing_w","quantumcomputing_f","raspberrypi_w","raspberrypi_f","retrocomputing_w","retrocomputing_f","reverseengineering_w","reverseengineering_f","robotics_w","robotics_f","rpg_w","rpg_f","ru_w","ru_f","rus_w","rus_f","russian_w","russian_f","salesforce_w","salesforce_f","scicomp_w","scicomp_f","scifi_w","scifi_f","security_w","security_f","sharepoint_w","sharepoint_f","sitecore_w","sitecore_f","skeptics_w","skeptics_f","softwareengineering_w","softwareengineering_f","softwarerecs_w","softwarerecs_f","sound_w","sound_f","space_w","space_f","spanish_w","spanish_f","sports_w","sports_f","sqa_w","sqa_f","stackapps_w","stackapps_f","stats_w","stats_f","stellar_w","stellar_f","superuser_w","superuser_f","sustainability_w","sustainability_f","tex_w","tex_f","tezos_w","tezos_f","tor_w","tor_f","travel_w","travel_f","tridion_w","tridion_f","ukrainian_w","ukrainian_f","unix_w","unix_f","ux_w","ux_f","vegetarianism_w","vegetarianism_f","vi_w","vi_f","webapps_w","webapps_f","webmasters_w","webmasters_f","windowsphone_w","windowsphone_f","woodworking_w","woodworking_f","wordpress_w","wordpress_f","workplace_w","workplace_f","worldbuilding_w","worldbuilding_f","writers_w","writers_f"
"26","try",3190,"interest",38056,"program",6092,"need",21902,"world",5507,"application",40455,"2",12165,"know",7978,"do",15116,"way",4097,"find",723,"take",15057,"give",2001,"just",10712,"currency",12963,"need",33706,"buy",9475,"want",1734,"understand",9687,"create",405,"question",18992,"use",6674,"learn",4382,"time",17970,"way",5190,"give",30590,"return",39835,"do",992,"know",3783,"do",2108,"vowel",293,"little",17012,"type",5297,"pencil",1466,"numb",17547,"question",23376,"course",2449,"language",6957,"question",15060,"set",41290,"team",2364,"circuit",35745,"voltage",415,"get",38658,"look",13150,"2",3149,"way",824,"2",7137,"connect",39425,"need",2653,"just",35168,"example",8939,"know",6064,"time",30797,"time",735,"think",837,"work",14311,"license",3536,"look",5170,"calorie",9652,"thing",2204,"mot",11316,"look",30807,"see",9241,"tree",2626,"aber",13047,"feature",44876,"tool",20589,"go",2957,"run",1920,"high",2782,"paul",16578,"see",7570,"germany",9214,"think",4422,"modern",1622,"talk",10976,"bundle",398,"see",8087,"anche",2153,"english",9625,"want",3515,"give",13675,"two",731,"like",975,"two",2460,"take",12699,"hand",2222,"think",5075,"just",2975,"way",33961,"fight",3021,"state",1135,"question",41614,"learn",4894,"result",35821,"check",14491,"new",819,"also",30466,"take",10952,"find",23473,"lyric",1007,"go",1091,"quantum",35145,"change",7702,"table",2327,"get",12713,"tambm",1724,"estou",76253,"5",19714,"find",9040,"question",3746,"find",16200,"apple",5076,"reverse",4260,"see",3443,"give",37292,"gcc",5894,"r",133,"name",1681,"change",46682,"find",5874,"power",27707,"just",36626,"new",38288,"code",4683,"show",6449,"program",37866,"open",8452,"find",6854,"much",10697,"los",6367,"two",2863,"team",7086,"now",1150,"2",42034,"want",501,"change",41952,"food",1625,"problem",44108,"call",457,"connection",2422,"know",24832,"one",3692,"20",135,"make",43029,"ui",25661,"need",533,"get",5713,"link",11936,"time",20320,"try",1176,"time",3239,"create",46814,"give",39143,"enough",31925,"word",16791
"27","extruder",3131,"find",37464,"also",5978,"update",21627,"seem",5417,"new",39973,"do",11952,"may",7797,"take",14800,"time",4005,"brewery",702,"pedal",14873,"different",1966,"example",10536,"work",12790,"vertex",33032,"strategy",9333,"model",1687,"people",9554,"good",401,"may",18596,"just",6512,"way",4299,"thing",17658,"want",5103,"take",29615,"may",39035,"little",972,"example",3723,"look",2063,"create",289,"ive",16781,"look",5189,"stitch",1404,"find",17347,"program",23117,"just",2412,"proof",6864,"make",14825,"try",40561,"time",2318,"panel",35187,"esc",408,"one",37433,"know",12981,"much",3091,"do",809,"economy",7018,"im",38850,"do",2633,"time",34565,"make",8688,"heat",5953,"see",30410,"smart",728,"make",823,"call",13997,"like",3463,"set",5028,"increase",9446,"job",2106,"cest",10868,"find",29925,"ive",9031,"question",2560,"als",12754,"do",43753,"graphic",20177,"grind",2910,"price",1894,"water",3075,"christ",16272,"body",7473,"century",9092,"im",4379,"late",1606,"something",10695,"milestone",398,"woman",7908,"al",2020,"kanji",9355,"also",3471,"question",13464,"way",716,"grammar",960,"think",2388,"pay",12423,"go",2100,"see",4954,"question",2894,"just",33336,"learn",2970,"2",1127,"f",40906,"know",4782,"case",34981,"also",14166,"rule",796,"need",29833,"may",10710,"may",23113,"track",983,"man",1071,"just",34651,"thing",7531,"just",2239,"time",12434,"tem",1663,"exemplo",73277,"take",19340,"value",8837,"answer",3690,"do",15965,"just",4950,"address",4197,"move",3396,"need",36668,"mysql",5735,"text",160,"know",1655,"good",45904,"see",5807,"even",27079,"system",35582,"try",37492,"good",4607,"many",6305,"example",37107,"time",8338,"try",6736,"like",10554,"con",5923,"like",2802,"automation",6956,"version",1109,"set",41332,"token",496,"im",41445,"go",1607,"change",43163,"new",448,"work",2377,"airline",24270,"may",3613,"google",132,"im",42373,"time",25152,"egg",511,"vimrc",5614,"list",11771,"content",19826,"find",1160,"look",3176,"do",45452,"way",38060,"do",31231,"thing",16187
"28","do",3053,"also",36752,"know",5863,"go",21253,"think",5302,"find",39490,"want",11741,"point",7691,"speed",14481,"may",3926,"style",688,"much",14576,"know",1955,"many",10329,"hash",12618,"node",32211,"3",9107,"time",1617,"experience",9421,"try",399,"ion",18262,"1",6371,"see",4175,"do",17361,"extension",5059,"edit",28880,"case",38297,"find",959,"will",3674,"color",2034,"noun",289,"much",16435,"image",5018,"find",1356,"make",17099,"x",22778,"way",2361,"k",6769,"look",14615,"2",39916,"environment",2231,"box",34629,"work",400,"make",36265,"example",12776,"wave",3056,"ebooks",804,"economic",6896,"just",38195,"find",2600,"context",33927,"follow",8540,"water",5894,"im",29986,"name",723,"u",818,"just",13704,"card",3383,"make",4885,"youre",9310,"company",2013,"use",10355,"much",29361,"pot",8736,"marriage",2522,"can",12542,"see",42707,"text",19827,"want",2859,"may",1828,"many",3017,"verse",15947,"many",7388,"like",8985,"ive",4320,"like",1586,"youre",10419,"see",396,"believe",7783,"mean",1990,"case",9127,"try",3399,"first",13255,"write",665,"do",932,"greek",2356,"license",12202,"leave",2067,"make",4904,"character",2849,"make",32606,"student",2889,"get",1122,"since",40261,"like",4702,"answer",34334,"see",13807,"take",789,"much",29126,"way",10413,"try",22659,"see",967,"many",1041,"question",34251,"estimate",7385,"do",2191,"year",12150,"portugal",1609,"ele",70541,"see",18891,"know",8696,"different",3648,"make",15624,"cpu",4874,"example",4149,"find",3362,"group",36107,"10",5660,"100",160,"phrase",1610,"id",45137,"c",5705,"will",26433,"want",34511,"custom",36928,"want",4564,"much",6113,"call",36467,"just",8193,"great",6570,"go",10418,"las",5566,"hit",2760,"think",6837,"datum",1055,"like",40816,"code",480,"way",40816,"just",1584,"good",42425,"cycle",441,"client",2336,"trip",23789,"publication",3503,"sound",132,"do",41653,"show",24517,"many",492,"change",5517,"go",11642,"go",19424,"contact",1141,"plane",3137,"im",44215,"resume",37128,"world",30604,"something",15658
"29","time",2950,"school",36165,"artificial",5782,"may",20834,"story",5200,"see",39047,"way",11502,"distance",7502,"faa",14132,"try",3814,"much",683,"find",14306,"try",1932,"organism",10155,"may",12417,"see",31470,"much",8921,"stud",1570,"question",9297,"work",397,"find",17927,"may",6280,"different",4125,"think",17092,"new",4946,"3",28272,"instead",37630,"method",925,"read",3597,"vertex",1981,"say",289,"egg",16142,"make",4895,"go",1346,"generate",16938,"also",22428,"need",2292,"result",6655,"train",14419,"file",39229,"may",2217,"2",34141,"see",395,"theme",35390,"noise",12648,"atmosphere",3015,"image",801,"like",6772,"design",37542,"see",2568,"phrase",33243,"do",8450,"energy",5834,"do",29647,"also",704,"people",794,"make",13503,"insurance",3290,"create",4688,"eat",9127,"start",1979,"franais",9795,"see",28780,"lawn",8540,"look",2473,"dass",12245,"code",41931,"also",19520,"station",2830,"drive",1771,"need",2987,"understand",15626,"make",7311,"say",8862,"want",4223,"even",1555,"someone",10132,"work",384,"do",7641,"mi",1827,"go",8894,"change",3359,"think",13044,"something",640,"get",909,"de",2336,"require",11952,"place",2026,"just",4829,"even",2816,"want",31952,"hand",2807,"may",1117,"now",39562,"way",4593,"point",33640,"vehicle",13575,"thing",764,"take",28591,"even",10151,"instrument",22131,"go",922,"use",1020,"way",33813,"just",7198,"stack",2131,"like",11941,"quando",1558,"ao",68405,"n",18241,"rate",8513,"compute",3613,"linux",15439,"ram",4801,"datum",4070,"power",3282,"have",35578,"int",5548,"50",171,"something",1590,"class",44434,"numb",5623,"kill",25925,"network",33620,"see",35337,"see",4536,"work",6129,"also",35700,"linux",8090,"mix",6394,"even",10246,"good",5308,"give",2709,"way",6722,"update",1035,"get",40346,"work",480,"computer",40222,"take",1553,"just",41703,"find",420,"circuit",2311,"city",23217,"also",3443,"question",131,"process",40908,"list",23953,"question",479,"character",5441,"try",11481,"see",18891,"setting",1138,"want",3062,"look",42909,"interview",36274,"large",30061,"also",15227
"30","pla",2884,"go",35681,"just",5669,"htc",20493,"naruto",5114,"need",38483,"im",11293,"around",7413,"little",13848,"software",3736,"different",674,"ive",14030,"id",1890,"answer",9960,"way",12246,"scene",31006,"think",8775,"way",1514,"give",9121,"way",395,"solution",17733,"know",6202,"make",4055,"even",16857,"do",4901,"language",27560,"list",36860,"milk",920,"different",3556,"give",1944,"know",288,"way",15936,"code",4796,"time",1337,"rsa",16702,"state",22163,"thing",2213,"machine",6541,"know",14211,"may",38588,"container",2197,"see",33550,"controller",392,"look",34625,"two",12496,"cause",2963,"get",783,"see",6686,"switch",36920,"add",2525,"see",32684,"run",8288,"go",5765,"just",29136,"find",690,"just",767,"create",13238,"citizenship",3232,"try",4579,"make",8942,"ask",1912,"sur",9347,"really",28286,"go",8337,"work",2453,"wird",11941,"server",40598,"web",19168,"two",2801,"buy",1749,"even",2916,"esv",15303,"even",7207,"see",8719,"fermentation",4160,"year",1518,"im",9843,"know",378,"follow",7480,"can",1749,"answer",8697,"do",3303,"reason",12864,"question",631,"way",887,"case",2284,"service",11750,"find",1974,"many",4774,"seem",2762,"look",31406,"thing",2758,"potential",1101,"way",39041,"proof",4517,"set",32997,"take",13372,"know",758,"stock",27966,"question",9984,"hand",21367,"first",912,"take",997,"make",33407,"plan",7089,"range",2073,"even",11762,"j",1496,"mais",66216,"go",18326,"example",8318,"may",3581,"system",15221,"chip",4743,"run",4032,"position",3225,"skill",34984,"7",5368,"n",179,"different",1569,"update",43715,"program",5538,"year",25375,"see",32866,"service",36259,"database",4479,"high",6044,"create",34948,"program",7952,"mic",6232,"mar",10095,"como",5168,"2",2622,"thing",6544,"new",1027,"different",39765,"see",479,"good",39588,"find",1509,"also",41012,"time",417,"try",2274,"look",22698,"check",3393,"see",107,"may",40284,"example",23446,"b12",469,"do",5387,"web",11207,"domain",18508,"new",1123,"way",3029,"see",41961,"team",35359,"work",29455,"writer",14852
"31","plastic",2841,"think",35017,"do",5610,"find",20160,"even",5001,"go",37987,"shield",11084,"get",7264,"just",13636,"format",3659,"glass",654,"back",13788,"way",1871,"effect",9783,"do",12104,"view",30430,"give",8567,"im",1499,"even",8946,"just",390,"example",17450,"see",6113,"two",3988,"mean",16472,"good",4828,"number",26920,"im",36293,"flavor",905,"effect",3510,"case",1917,"see",288,"youre",15707,"site",4681,"piece",1325,"like",16509,"two",21887,"problem",2154,"two",6460,"give",14040,"error",38043,"software",2178,"install",33020,"propeller",379,"display",33924,"datum",12331,"datum",2906,"want",774,"equilibrium",6585,"pin",36439,"follow",2484,"correct",32083,"call",8126,"low",5678,"adjective",28758,"make",684,"way",742,"see",13069,"make",3136,"may",4514,"much",8754,"give",1875,"comme",8992,"something",27837,"look",8151,"list",2430,"wie",11644,"just",39442,"file",18795,"wire",2738,"laptop",1728,"increase",2874,"passage",15034,"use",7117,"soviet",8644,"gallon",4026,"paper",1507,"try",9671,"just",375,"question",7312,"word",1698,"different",8572,"update",3237,"come",12732,"go",609,"understand",867,"language",2249,"find",11511,"around",1928,"change",4648,"come",2692,"customer",30877,"move",2727,"find",1096,"problem",38389,"understand",4414,"do",32516,"battery",13130,"forum",752,"company",27393,"kill",9785,"start",21424,"say",886,"people",980,"space",32941,"risk",6935,"give",2042,"say",11520,"palavra",1466,"seu",63743,"6",17948,"think",8181,"measurement",3542,"image",15080,"address",4657,"need",3973,"look",3189,"take",34327,"js",5297,"xvii",168,"think",1544,"do",43009,"example",5466,"people",24969,"send",32156,"way",35066,"update",4417,"result",5979,"write",34291,"source",7835,"thing",6112,"surface",9901,"way",4949,"start",2572,"software",6435,"do",1009,"point",39301,"make",470,"go",38855,"many",1485,"first",40309,"follow",413,"do",2249,"want",22147,"user",3330,"just",121,"follow",39597,"find",23011,"take",459,"type",5321,"message",11110,"way",18191,"change",1116,"go",2960,"may",40999,"say",34627,"thing",28810,"people",14471
"32","find",2808,"take",34444,"give",5504,"file",19756,"people",4865,"make",37404,"function",10867,"look",7154,"youre",13432,"quality",3587,"time",650,"see",13504,"format",1841,"much",9588,"also",11907,"change",29898,"deck",8399,"know",1494,"get",8826,"make",385,"need",17165,"do",6030,"question",3886,"word",16291,"error",4754,"version",26352,"test",35733,"process",890,"work",3444,"see",1886,"many",277,"keep",15440,"also",4564,"surface",1278,"public",16281,"way",21561,"test",2106,"class",6391,"different",13868,"do",37508,"configuration",2128,"way",32514,"antenna",372,"also",33137,"algorithm",12179,"climate",2861,"find",749,"get",6477,"want",35915,"ubuntu",2472,"people",31543,"text",7995,"see",5621,"find",28427,"blockchain",679,"do",705,"way",12828,"state",3093,"do",4456,"protein",8588,"find",1827,"french",8541,"lot",27344,"keep",7956,"see",2412,"mean",11405,"way",38686,"know",18323,"way",2702,"make",1635,"disease",2823,"take",14781,"name",7005,"example",8552,"also",3907,"early",1500,"work",9395,"full",372,"thing",7187,"questo",1587,"two",8370,"just",3189,"need",12540,"people",608,"method",859,"2",2204,"however",11313,"help",1896,"find",4538,"mean",2664,"do",30304,"back",2695,"point",1086,"c",37781,"find",4375,"2",31924,"run",12940,"answer",741,"loan",26856,"will",9615,"want",21169,"many",872,"will",974,"like",32478,"help",6810,"big",1976,"give",11316,"est",1445,"quando",61606,"possible",17614,"portfolio",8035,"way",3502,"im",14899,"do",4533,"make",3881,"arduino",3153,"find",33776,"ubuntu",5169,"y",148,"way",1527,"case",42433,"solver",5380,"read",24527,"client",31546,"solution",35478,"version",4358,"year",5641,"language",33619,"available",7711,"may",5965,"moon",9766,"also",4832,"football",2537,"case",6321,"id",988,"make",38764,"im",463,"may",38206,"cost",1465,"table",39541,"make",413,"want",2219,"way",21781,"change",3283,"5",120,"set",38950,"im",22642,"high",449,"current",5266,"service",10976,"web",17650,"8",1110,"surface",2915,"also",40245,"find",34009,"long",28297,"im",14062
"33","im",2754,"even",33779,"need",5379,"contact",19430,"may",4802,"x",36847,"try",10642,"space",7035,"wing",13238,"clip",3476,"add",635,"little",13300,"line",1806,"seem",9414,"new",11758,"model",29308,"people",8204,"two",1458,"know",8674,"im",384,"1",16884,"attack",5932,"name",3843,"1",16041,"contribution",4693,"perl",25756,"2",35241,"much",882,"psychology",3378,"two",1863,"speak",276,"work",15170,"example",4432,"little",1260,"security",16118,"see",21286,"c",2053,"may",6316,"im",13736,"im",36945,"just",2089,"look",31912,"know",370,"custom",32478,"want",11997,"pressure",2829,"convert",730,"case",6374,"frequency",35385,"also",2414,"come",31007,"find",7855,"load",5540,"two",28056,"see",674,"pri",684,"send",12671,"bank",3053,"also",4347,"im",8408,"much",1797,"y",8259,"engine",26874,"im",7748,"include",2379,"dem",11060,"know",37901,"see",17972,"low",2665,"new",1584,"like",2792,"bible",14584,"get",6941,"get",8401,"little",3806,"idea",1494,"need",9168,"run",366,"example",7070,"lo",1507,"difference",8209,"see",3149,"many",12393,"name",605,"first",847,"first",2169,"like",11165,"small",1871,"speak",4445,"way",2636,"see",29843,"foot",2651,"function",1080,"first",37249,"just",4312,"follow",31330,"im",12753,"problem",725,"income",26341,"look",9392,"need",20826,"name",858,"son",966,"also",32063,"process",6680,"blind",1953,"many",11141,"mesmo",1418,"usar",59757,"0",17307,"interest",7902,"computation",3468,"rpi",14665,"write",4486,"window",3807,"two",3124,"work",33237,"css",5069,"0",137,"see",1500,"just",41789,"want",5338,"stone",24148,"request",30936,"type",32267,"follow",4309,"question",5831,"know",33075,"get",7578,"lot",5804,"2",9604,"something",4682,"goal",2489,"look",6174,"also",966,"problem",38258,"good",462,"time",37425,"material",1440,"do",38919,"wallet",407,"connect",2183,"make",21386,"sdl",3228,"will",112,"start",38329,"know",22244,"know",446,"good",5234,"know",10830,"host",17317,"know",1107,"much",2863,"user",39405,"project",33305,"know",27795,"first",13694
"34","look",2691,"need",33156,"input",5295,"market",19132,"do",4717,"know",36316,"run",10456,"way",6929,"control",13030,"find",3399,"try",622,"gear",13111,"base",1760,"genome",9246,"want",11612,"mode",28887,"start",8131,"try",1404,"use",8570,"blockchain",380,"hydrogen",16605,"queen",5804,"sound",3785,"take",15838,"find",4615,"value",24819,"string",34785,"go",861,"measure",3340,"line",1843,"time",275,"flavor",14884,"asset",4326,"different",1238,"get",15926,"first",21015,"first",2014,"vertex",6236,"way",13591,"way",36491,"create",2051,"two",31378,"look",367,"im",31737,"see",11865,"air",2793,"just",726,"country",6281,"see",34901,"one",2389,"case",30403,"add",7711,"question",5474,"way",27628,"wallet",665,"find",663,"good",12534,"month",3023,"member",4283,"may",8277,"rate",1768,"si",7955,"example",26454,"much",7588,"death",2338,"sie",10846,"make",37221,"time",17514,"see",2626,"keyboard",1579,"see",2773,"write",14255,"son",6858,"source",8323,"mash",3706,"newton",1481,"also",8974,"like",350,"book",6953,"essere",1457,"language",8035,"plugin",3112,"2",12204,"2",594,"learner",841,"write",2117,"lawyer",11007,"little",1841,"will",4355,"man",2598,"find",29356,"need",2629,"question",1073,"r",36703,"point",4235,"just",30837,"look",12549,"member",721,"invest",25820,"back",9207,"work",20574,"rock",845,"ancient",954,"do",31644,"want",6568,"turn",1930,"see",10960,"ele",1390,"dado",57939,"case",17030,"just",7812,"code",3434,"boot",14434,"2",4377,"do",3733,"go",3091,"system",32713,"null",4912,"b",125,"noun",1470,"trigger",41090,"datum",5256,"come",23750,"try",30412,"do",34017,"new",4232,"source",5419,"different",32504,"web",7485,"much",5679,"atmosphere",9459,"al",4557,"field",2442,"know",6100,"im",962,"way",37807,"error",461,"network",36520,"want",1413,"tex",38267,"good",406,"way",2162,"visit",21027,"want",3210,"difference",111,"way",37611,"link",21857,"just",434,"find",5178,"may",10716,"browser",17046,"set",1076,"sand",2803,"change",38660,"youre",32739,"think",27354,"youre",13429
"35","build",2649,"graduate",32498,"model",5245,"know",18792,"take",4648,"may",35751,"read",10312,"form",6833,"high",12847,"know",3327,"little",614,"light",12916,"just",1742,"study",9111,"exchange",11442,"just",28470,"want",7960,"technic",1363,"teach",8431,"want",378,"answer",16378,"give",5720,"time",3738,"question",15642,"change",4581,"work",24714,"loop",34231,"ground",847,"reference",3313,"result",1806,"case",272,"salt",14666,"see",4268,"much",1225,"bit",15754,"input",20786,"go",1986,"polynomial",6120,"numb",13447,"result",35978,"application",2025,"pipe",30977,"aircraft",363,"see",31154,"result",11704,"like",2759,"support",724,"us",6213,"wire",34447,"application",2342,"2",29902,"good",7554,"two",5390,"get",27252,"table",657,"sed",650,"also",12337,"know",2987,"form",4202,"help",8167,"think",1751,"se",7718,"start",26067,"fruit",7442,"people",2322,"good",10575,"set",36612,"print",17164,"current",2576,"little",1552,"little",2746,"translation",13984,"story",6784,"become",8251,"grain",3641,"much",1471,"even",8788,"good",346,"word",6867,"say",1444,"thing",7901,"find",3067,"shabbos",12052,"case",591,"teach",836,"way",2085,"do",10786,"want",1819,"sentence",4276,"give",2553,"attribute",28956,"teach",2592,"theory",1043,"do",36209,"exam",4162,"plot",30286,"know",12336,"try",706,"mortgage",25336,"give",9043,"finger",20282,"hear",818,"human",942,"work",31199,"think",6488,"know",1893,"way",10848,"pode",1377,"assim",56272,"way",16769,"need",7662,"just",3406,"see",14172,"read",4303,"want",3662,"speed",3028,"know",32265,"ajax",4760,"link",138,"even",1446,"email",40629,"way",5163,"dark",23389,"find",29965,"just",31965,"also",4178,"get",5667,"case",31924,"user",7354,"take",5575,"take",9313,"just",4454,"race",2399,"just",5979,"change",947,"0",37388,"xlm",447,"system",35626,"lot",1391,"2",37608,"storage",399,"file",2076,"ticket",20686,"set",3139,"may",106,"first",36967,"something",21514,"even",429,"buff",5124,"address",10583,"people",16783,"need",1072,"little",2745,"new",38034,"see",32126,"want",26781,"see",13046
"36","go",2469,"write",32016,"computer",5113,"screen",18538,"go",4567,"ipad",35247,"sensor",10077,"energy",6725,"altitude",12695,"see",3301,"malt",573,"way",12691,"im",1729,"do",9005,"know",11246,"try",27906,"little",7865,"2",1333,"find",8338,"time",375,"temperature",16145,"opening",5640,"mandarin",3656,"just",15429,"im",4515,"need",24223,"first",33781,"try",793,"do",3281,"1",1789,"form",271,"want",14433,"tag",4235,"small",1190,"time",15612,"like",20582,"know",1933,"like",6066,"result",13279,"1",35537,"jenkins",1991,"im",30519,"much",351,"do",30684,"way",11565,"find",2734,"look",691,"high",6146,"motor",34001,"make",2303,"get",29392,"im",7387,"way",5343,"take",26966,"work",654,"see",645,"want",12133,"take",2939,"see",4122,"diet",8037,"im",1704,"avec",7544,"write",25734,"want",7374,"do",2278,"kann",10278,"polygon",36054,"try",16811,"receive",2527,"case",1523,"eat",2721,"two",13709,"rama",6733,"come",8129,"sugar",3584,"point",1460,"take",8592,"key",339,"islamic",6786,"one",1401,"people",7778,"set",3034,"way",11903,"im",584,"see",811,"give",2051,"even",10620,"see",1766,"way",4222,"poem",2521,"cache",28582,"find",2549,"electron",1032,"also",35814,"need",4097,"look",29733,"light",12102,"action",693,"want",24992,"people",8862,"fret",19991,"look",814,"think",929,"mean",30841,"find",6425,"tournament",1840,"article",10722,"muito",1352,"funo",54769,"solve",16489,"order",7553,"make",3374,"problem",13955,"basic",4259,"process",3605,"robotic",2984,"roll",31804,"8",4747,"xvi",139,"answer",1418,"im",40061,"library",5109,"try",23062,"device",29473,"document",32443,"way",4095,"research",5577,"thing",31440,"allow",7229,"way",5460,"gravity",9155,"question",4291,"do",2362,"want",5889,"time",941,"result",37017,"way",442,"boot",34919,"waste",1381,"im",37006,"delegate",395,"time",2051,"card",20411,"good",3074,"time",105,"error",36354,"thing",21202,"much",426,"add",5053,"im",10415,"know",16415,"option",1049,"bite",2689,"set",37461,"question",31691,"give",26335,"need",12776
"37","way",2575,"just",31449,"see",5050,"time",18272,"two",4512,"screen",34742,"see",9866,"large",6645,"say",12500,"light",3249,"say",565,"cycle",12520,"run",1706,"way",8892,"value",11043,"look",27424,"way",7767,"example",1297,"answer",8179,"see",368,"do",15949,"2",5563,"something",3622,"love",15244,"make",4477,"write",23829,"change",33363,"grinder",780,"human",3245,"want",1773,"change",265,"find",14248,"url",4139,"material",1169,"scheme",15447,"make",20405,"want",1918,"see",5960,"just",13133,"also",34981,"new",1967,"grind",29993,"charge",345,"try",30212,"make",11397,"make",2667,"try",687,"say",6066,"1",33557,"screen",2172,"follow",28836,"may",7240,"just",5279,"2",26588,"way",637,"may",627,"try",11965,"resident",2895,"variable",4050,"back",7871,"way",1669,"sont",7398,"im",25304,"try",7285,"year",2250,"wenn",10047,"time",35441,"find",16441,"transmitter",2507,"recommend",1501,"however",2674,"people",13454,"come",6667,"give",8028,"take",3526,"physic",1447,"give",8333,"pow",323,"man",6700,"ha",1352,"write",7689,"item",3010,"hashem",11777,"end",568,"need",806,"come",2012,"act",10480,"cut",1750,"people",4146,"author",2508,"also",28160,"people",2509,"give",1029,"equation",35457,"take",4019,"try",29180,"part",11863,"even",662,"work",24590,"two",8394,"different",19752,"video",794,"world",922,"theory",30521,"see",6314,"pair",1808,"two",10555,"palavras",1306,"s",53516,"must",16202,"do",7467,"n",3352,"way",13754,"first",4213,"just",3531,"give",2943,"die",31382,"dll",4661,"60",130,"make",1400,"make",39489,"do",5048,"world",22487,"even",29035,"im",32393,"value",4050,"little",5489,"type",30907,"application",7120,"hear",5351,"fuel",9061,"know",4170,"just",2307,"see",5818,"list",937,"see",36625,"new",420,"create",34125,"question",1364,"error",36371,"just",392,"just",2002,"youre",20114,"link",3026,"rule",104,"shell",35701,"click",20876,"answer",422,"need",5000,"send",10293,"find",15918,"also",1027,"end",2657,"try",36918,"look",31163,"little",25958,"try",12567
